,content,replyCount,retweetCount,likeCount,quoteCount,year,month,day
22,"💡 Wenn die SPD über Wirtschaft in RLP spricht, wollen wir nur mal daran erinnern: #RLP war 2019 Schlusslicht beim Wachstum. Christian Baldauf will eine andere Wirtschaftspolitik. Für das Land. Für die Menschen. Deshalb am 14. März #CDU wählen. #wirmachendas #ltwrp21 https://t.co/a4RdtB8ZlU",7,7,25,0,2021,3,5
23,"👍 So stellt man sich einen Menschen vor, der sich in den Dienst des Landes stellt! #wirmachendas #baldauf21 #TVDUELL #ltwrp21 https://t.co/sPCbqbu2tU",35,40,119,4,2021,3,5
24,"Christian #Baldauf macht gleich zu Beginn klar, worum es ihm geht: Rheinland-Pfalz. Es ist Zeit für eine Landesregierung, die Probleme löst. #wirmachendas #baldauf21 #TVDUELL https://t.co/hiaF627xVX",21,13,74,0,2021,3,5
25,"💪 Angekommen, um im #TVDuell 📺 zu überzeugen: Christian #Baldauf. Übrigens: Die #CDU Rheinland-Pfalz hat nicht nur 1 Wahlprogramm, sondern gleich 14: regionalisierte Programme mit konkreten Ideen für konkrete Fragen vor Ort: https://t.co/MlStWMwRXp #wirmachendas https://t.co/nxQQC6IMIo",5,5,20,1,2021,3,5
26,⏰ In 30 Minuten geht's los: Das #TVDuell mit Christian #Baldauf. Eins ist schon vorher klar: Es ist Zeit für einen Neuanfang in Rheinland-Pfalz! #baldauf21 #ltwrp21 https://t.co/FYAtiSrCFE,15,5,29,4,2021,3,5
27,"Verstörende #WhatsApp-Kettenbriefe, #Cybergrooming oder pornographische Inhalte: Im Internet lauern für Kinder und Jugendliche viele Gefahren. Deshalb hat der #Bundestag eine Reform des Jugendschutzgesetzes beschlossen. 👉🏼 Mehr Infos: https://t.co/jgmk5AXdfQ https://t.co/FXjuAXBanq",31,4,23,0,2021,3,5
28,"🎬 Heute Abend zeigt Spitzenkandidat Christian #Baldauf im TV-Duell, warum #RheinlandPfalz den Wechsel braucht. Denn: #RLP braucht neue Ideen &amp; neuen Schwung. Die @cdurlp will das, kann das &amp; macht das! #wirmachendas

🍿 20.15 Uhr | SWR Aktuell | Einschalten! #ltwrp21 https://t.co/7TDVmBTwkq",27,11,49,4,2021,3,5
29,"Mit unserem voll digitalen #cdupt21 haben wir Maßstäbe gesetzt &amp; gezeigt, dass wir die digitalste Partei 🇩🇪s sind. 💪🏼 Wie wir das mit gerade einmal 5️⃣ Wochen Vorbereitungszeit geschafft haben &amp; was dabei alles beachtet werden musste, lesen Sie im Interview mit @StefanHennewig.👇🏼 https://t.co/koYTN0PGbc",39,9,35,1,2021,3,5
30,"Ob aus Rheinland-Pfalz, Niedersachsen oder Nordrhein-Westfalen - heute stehen unsere Mitglieder im Vordergrund. Sie sind das ❤️-Stück unserer Partei &amp; machen sie zu dem, was sie ist. Deswegen nimmt sich unser Parteivorsitzender extra viel Zeit, um sich mit ihnen auszutauschen. 🗣 https://t.co/snCeNvpppi",27,6,44,3,2021,3,4
31,"„Herr Adams - können Sie uns hören?“👂🏼 
Er war der heimliche Star unseres #cdupt21: Herr Adams! Heute ist er wieder live ins Studio zugeschaltet - diesmal mit Bild UND Ton 😉 Lieber Herr Adams: schön, dass es geklappt hat und Sie heute Abend dabei sind! https://t.co/y2tZ8KK9gg",8,12,64,1,2021,3,4
